state,district,total_enrolments,total_updates,update_intensity,bio_share,demo_share,cluster
100000,100000,218.0,2.0,0.0,0.0,0.08695652173913043,0
Andaman And Nicobar Islands,North And Middle Andaman,132.0,8392.0,0.16792294807370184,0.38822043674672146,0.41579966375579114,1
Andaman And Nicobar Islands,South Andaman,228.0,14183.0,0.011728182131769576,0.35131594619518847,0.37514145290795053,1
Andhra Pradesh,Adilabad,1419.0,81329.0,0.0027100271002710027,0.3420611415297827,0.36525593164094905,1
Andhra Pradesh,Alluri Sitharama Raju,1255.0,31478.0,0.014637002341920375,0.34614392607290706,0.3628724673697159,1
Andhra Pradesh,Anakapalli,543.0,20183.0,0.009411050394656952,0.3401639344262295,0.38114754098360654,1
Andhra Pradesh,Anantapur,4415.0,162310.0,0.0,0.33939726644426615,0.3586419492420084,1
Andhra Pradesh,Ananthapur,1994.0,114158.0,0.0,0.3408836563856932,0.3603115627378128,1
Andhra Pradesh,Ananthapuramu,3187.0,165546.0,0.006308140695492475,0.33766233766233766,0.3738001129305477,1
Andhra Pradesh,Annamayya,1021.0,43346.0,0.012071330589849109,0.3400290884491798,0.3842507469417667,1
Andhra Pradesh,Bapatla,492.0,19496.0,0.011784232365145227,0.33167752734370237,0.3861647963077499,1
Andhra Pradesh,Chittoor,8199.0,421074.0,0.0,0.33527131782945735,0.36627906976744184,1
Andhra Pradesh,Cuddapah,5934.0,254463.0,0.007184664910740415,0.3429033998920669,0.3669005216765605,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,665.0,21462.0,0.0,0.3387096774193548,0.3790322580645161,1
Andhra Pradesh,East Godavari,7678.0,457875.0,0.0,0.3377032971846586,0.3649994055180441,1
Andhra Pradesh,Eluru,629.0,25814.0,0.0027434842249657062,0.3374485596707819,0.38271604938271603,1
Andhra Pradesh,Guntur,9729.0,468915.0,0.0,0.3384615384615385,0.36538461538461536,1
Andhra Pradesh,Hyderabad,4840.0,141950.0,0.00427906976744186,0.3456082181748048,0.3543917818251952,1
Andhra Pradesh,Kakinada,969.0,39967.0,0.009370816599732261,0.33571572146833895,0.37512765202563697,1
Andhra Pradesh,Karimnagar,659.0,27458.0,0.0020242914979757085,0.34650120978367627,0.3660493975037731,1
Andhra Pradesh,Khammam,1133.0,73326.0,0.0,0.34580825769464446,0.3626937665968535,1
Andhra Pradesh,Krishna,6737.0,345096.0,0.0,0.3371647509578544,0.36398467432950193,1
Andhra Pradesh,Kurnool,11770.0,528278.0,0.016729525862068967,0.3379780841716277,0.3651469158283723,1
Andhra Pradesh,Mahabub Nagar,1511.0,26665.0,0.004098360655737705,0.3423535388534957,0.3625644939333896,1
Andhra Pradesh,Mahbubnagar,722.0,24636.0,0.0,0.3465837441247277,0.36653100997363297,1
Andhra Pradesh,Medak,1406.0,35408.0,0.008365248941745616,0.35068060281964025,0.3724598930481284,1
Andhra Pradesh,N. T. R,933.0,51629.0,0.024611857391250828,0.3401427161009126,0.37471672165009134,1
Andhra Pradesh,Nalgonda,1167.0,62497.0,0.0,0.34957659750869696,0.36587055696284776,1
Andhra Pradesh,Nandyal,905.0,38025.0,0.010944700460829494,0.34274193548387094,0.38306451612903225,1
Andhra Pradesh,Nellore,5367.0,226600.0,0.0,0.3413594755259769,0.35705322288672153,1
Andhra Pradesh,Nizamabad,524.0,16520.0,0.0,0.3523598123925488,0.3741359141031777,1
Andhra Pradesh,Palnadu,860.0,35548.0,0.0,0.3319838056680162,0.3805668016194332,1
Andhra Pradesh,Parvathipuram Manyam,508.0,20021.0,0.030918367346938775,0.33358424724963065,0.38070146703608365,1
Andhra Pradesh,Prakasam,7623.0,332797.0,0.0,0.3383337294043093,0.3647912705956907,1
Andhra Pradesh,Rangareddi,1884.0,76860.0,0.0,0.3498087234184117,0.3627418838690377,1
Andhra Pradesh,Spsr Nellore,2183.0,0.0,0.0,0.0,0.0,0
Andhra Pradesh,Sri Potti Sriramulu Nellore,1614.0,32200.0,0.004,0.332,0.372,1
Andhra Pradesh,Sri Sathya Sai,938.0,32522.0,0.006122448979591836,0.33276082710311844,0.385606519835657,1
Andhra Pradesh,Srikakulam,4300.0,328306.0,0.0,0.3385013544891641,0.3685298955108359,1
Andhra Pradesh,Tirupati,1719.0,43628.0,0.00844412504491556,0.33992094861660077,0.3715415019762846,1
Andhra Pradesh,Visakhapatanam,226.0,0.0,0.0,0.0,0.0,0
Andhra Pradesh,Visakhapatnam,8178.0,468496.0,0.019598599137931036,0.33842178815508145,0.36470321184491855,1
Andhra Pradesh,Vizianagaram,3856.0,238885.0,0.0,0.339217642694502,0.36233274490239725,1
Andhra Pradesh,Warangal,1059.0,86524.0,0.0,0.3483486771729151,0.36081466944063073,1
Andhra Pradesh,West Godavari,5935.0,347220.0,0.004933504933504933,0.3359073359073359,0.3667953667953668,1
Andhra Pradesh,Y. S. R,823.0,36794.0,0.014897987674757184,0.3288189235290491,0.3837316837584003,1
Arunachal Pradesh,Changlang,803.0,13842.0,0.13935060001726668,0.33703126118413834,0.3785242943714172,1
Arunachal Pradesh,East Kameng,181.0,5719.0,3.0033035714285714,0.4409159832344618,0.3840840167655382,3
Arunachal Pradesh,East Siang,168.0,5824.0,1.270202664399093,0.3868812795359934,0.39883300617829237,2
Arunachal Pradesh,Lohit,166.0,5757.0,0.24313725490196078,0.38323570725829165,0.42425092375775114,1
Arunachal Pradesh,Longding,897.0,4084.0,0.17771038114973137,0.35602264218247387,0.381682275850313,1
Arunachal Pradesh,Lower Dibang Valley,109.0,3405.0,3.9224043715846992,0.5261079630341914,0.3755313812281038,3
Arunachal Pradesh,Lower Subansiri,105.0,4201.0,0.6975308641975309,0.4174299862667801,0.36652063101717053,2
Arunachal Pradesh,Namsai,150.0,8138.0,0.5306963645673324,0.38670459945894603,0.4036179811862153,2
Arunachal Pradesh,Papum Pare,447.0,14181.0,0.13133718133718134,0.3459330871750938,0.3683526271106205,1
Arunachal Pradesh,Siang,103.0,2086.0,0.24835526315789475,0.41256565731217437,0.4229606584772993,1
Arunachal Pradesh,Tawang,154.0,3415.0,0.5214575926866429,0.38807515002425796,0.39963434718244595,2
Arunachal Pradesh,Upper Subansiri,143.0,5715.0,4.792483660130719,0.511100283928529,0.4048661026260928,3
Arunachal Pradesh,West Kameng,278.0,8031.0,0.1730777632153779,0.3755779631934145,0.3858899267148424,1
Arunachal Pradesh,West Siang,192.0,8198.0,0.41213040042633736,0.3610143102494933,0.37609909181236234,1
Assam,Baksa,3699.0,34467.0,0.016392156862745096,0.33439107768377735,0.3518834321201442,1
Assam,Barpeta,14383.0,154563.0,0.12289013742277542,0.33977695379514766,0.3558752201178958,1
Assam,Biswanath,1329.0,20573.0,0.06568787043993655,0.34702069570845256,0.36372310594443996,1
Assam,Bongaigaon,3175.0,75732.0,0.14515081343841363,0.33924667470437136,0.35954850601852023,1
Assam,Cachar,17514.0,124164.0,0.01807965808186876,0.3336691988014682,0.35260531100245335,1
Assam,Charaideo,1189.0,18206.0,0.04867120627888533,0.34489568028985484,0.36640139083985224,1
Assam,Chirang,3348.0,40484.0,0.11060635459992077,0.3470602075341794,0.3696064591324873,1
Assam,Darrang,7595.0,54584.0,0.12100748403672718,0.3423071299195578,0.3648058407917393,1
