state,district,total_enrol,total_demo,total_bio,demo_intensity,bio_intensity,enrol_child_share,demo_minor_share,bio_minor_share,child_attention_gap,cluster
100000,100000,218.0,2.0,0.0,0.0025773195876275376,0.0,0.249999999975,0.0,0.0,-0.249999999975,2
Andaman And Nicobar Islands,Andamans,75.0,750.0,2015.0,4.706410256381783,1080000000006.339,0.44444444444188197,0.0057588559397290275,0.15763230538042045,-0.32830490064592444,2
Andaman And Nicobar Islands,Nicobar,75.0,787.0,1811.0,435555555558.97546,1121111111119.4639,0.44444444444031916,0.04735643753805942,0.5200724636776475,-0.027248325947727414,2
Andaman And Nicobar Islands,North And Middle Andaman,132.0,2009.0,6383.0,955555555559.3757,4504444444452.416,0.44444444444300135,0.03655117390530623,0.6134635605624588,0.03754779438057506,2
Andaman And Nicobar Islands,South Andaman,228.0,3696.0,10487.0,582222222228.4329,6754444444453.114,0.4444444444436088,0.07033721241573598,0.6350202780982909,0.07050096272075969,2
Andhra Pradesh,Adilabad,1419.0,29291.0,52038.0,4822222222234.725,27738888888901.234,0.44408369408350645,0.04880985034372924,0.23685647416611427,-0.24358493828307337,2
Andhra Pradesh,Alluri Sitharama Raju,1255.0,12871.0,18607.0,5691111111113.984,12038888888891.777,0.43227059934398016,0.08987938851263161,0.4474976659534043,-0.07184908453385117,2
Andhra Pradesh,Anakapalli,543.0,13460.0,6723.0,4780000000007.815,4400000000002.425,0.438406122021597,0.10925567790243904,0.5059639730473833,-0.11267864067113892,2
Andhra Pradesh,Anantapur,4415.0,68745.0,93565.0,23502222222227.707,58501111111115.82,0.44444444444440034,0.08271353489981612,0.37113683326295316,-0.14297513700437728,1
Andhra Pradesh,Ananthapur,1994.0,30026.0,84132.0,10366666666671.396,67346666666672.086,0.44444444444435455,0.16558065984892956,0.698914047147175,0.16907330113549188,1
Andhra Pradesh,Ananthapuramu,3187.0,55944.0,109602.0,34665555555559.266,91210000000004.08,0.44309649248282196,0.20618725627099577,0.7762853883536163,0.13222015010051585,1
Andhra Pradesh,Annamayya,1021.0,33634.0,9712.0,22465555555561.58,6455555555557.355,0.4021939922418083,0.1670305167762135,0.5631360368203082,-0.1398137290613757,2
Andhra Pradesh,Bapatla,492.0,13514.0,5982.0,6303333333340.477,3404444444447.155,0.4303375668890548,0.13446099749266638,0.606323234049572,-0.10936484914596864,2
