year,month,state,district,age_0_5,age_5_17,age_18_greater,total_enrol,enrol_share_0_5,enrol_share_5_17,enrol_share_18_plus,enrol_child_share,demo_age_5_17,demo_age_17_,total_demo,demo_minor_share,bio_age_5_17,bio_age_17_,total_bio,bio_minor_share,total_updates,demo_intensity,bio_intensity,total_intensity,demo_intensity_5_17,bio_intensity_5_17,demo_intensity_adult,bio_intensity_adult,child_share_enrol,child_share_updates,child_attention_gap,adult_share_enrol,adult_share_updates,adult_attention_gap,interaction_category
2025,3,Andaman And Nicobar Islands,Andamans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,193.0,209.0,0.07655502392340835,209.0,0.0,2090000000000.0,2090000000000.0,0.0,160000000000.0,0.0,1930000000000.0,0.0,0.07655502392340835,0.07655502392340835,0.0,0.9234449760761132,0.9234449760761132,"Legacy (Low E, High U)"
2025,3,Andaman And Nicobar Islands,Nicobar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,360.0,392.0,0.08163265306120367,178.0,101.0,279.0,0.63799283154099,671.0,3920000000000.0,2790000000000.0,6710000000000.0,320000000000.0,1780000000000.0,3600000000000.0,1010000000000.0,0.0,0.31296572280174173,0.31296572280174173,0.0,0.6870342771981092,0.6870342771981092,"Legacy (Low E, High U)"
2025,3,Andaman And Nicobar Islands,North And Middle Andaman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,402.0,422.0,0.04739336492889872,470.0,347.0,817.0,0.5752753977967472,1239.0,4220000000000.0,8170000000000.0,12390000000000.0,200000000000.0,4700000000000.0,4020000000000.0,3470000000000.0,0.0,0.3954802259886686,0.3954802259886686,0.0,0.6045197740112507,0.6045197740112507,"Legacy (Low E, High U)"
2025,3,Andaman And Nicobar Islands,South Andaman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,450.0,524.0,0.14122137404577456,948.0,450.0,1398.0,0.678111587982784,1922.0,5240000000000.0,13980000000000.0,19220000000000.0,740000000000.0,9480000000000.0,4500000000000.0,4500000000000.0,0.0,0.531737773152938,0.531737773152938,0.0,0.46826222684700997,0.46826222684700997,"Legacy (Low E, High U)"
2025,3,Andhra Pradesh,Adilabad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,3950.0,4340.0,0.08986175115207166,897.0,4366.0,5263.0,0.17043511305338835,9603.0,43400000000000.0,52630000000000.0,96030000000000.0,3900000000000.0,8970000000000.0,39500000000000.0,43660000000000.0,0.0,0.13402061855669964,0.13402061855669964,0.0,0.8659793814432899,0.8659793814432899,"Legacy (Low E, High U)"
2025,3,Andhra Pradesh,Alluri Sitharama Raju,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.0,4448.0,4955.0,0.10232088799192528,585.0,1408.0,1993.0,0.2935273457099702,6948.0,49550000000000.0,19930000000000.0,69480000000000.0,5070000000000.0,5850000000000.0,44480000000000.0,14080000000000.0,0.0,0.1571675302245228,0.1571675302245228,0.0,0.8428324697754628,0.8428324697754628,"Legacy (Low E, High U)"
2025,3,Andhra Pradesh,Anakapalli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,2791.0,3164.0,0.11788874841971814,218.0,234.0,452.0,0.48230088495564555,3616.0,31640000000000.0,4520000000000.0,36160000000000.0,3730000000000.0,2180000000000.0,27910000000000.0,2340000000000.0,0.0,0.16344026548672114,0.16344026548672114,0.0,0.8365597345132512,0.8365597345132512,"Legacy (Low E, High U)"
2025,3,Andhra Pradesh,Anantapur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953.0,19013.0,19966.0,0.04773114294300287,3363.0,6499.0,9862.0,0.34100588116000463,29828.0,199660000000000.0,98620000000000.0,298280000000000.0,9530000000000.0,33630000000000.0,190130000000000.0,64990000000000.0,0.0,0.14469625854901388,0.14469625854901388,0.0,0.8553037414509829,0.8553037414509829,"Legacy (Low E, High U)"
2025,3,Andhra Pradesh,Ananthapur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,7310.0,9330.0,0.2165058949624843,11722.0,2215.0,13937.0,0.8410705316782604,23267.0,93300000000000.0,139370000000000.0,232670000000000.0,20200000000000.0,117220000000000.0,73100000000000.0,22150000000000.0,0.0,0.5906219108608735,0.5906219108608735,0.0,0.4093780891391223,0.4093780891391223,"Legacy (Low E, High U)"
2025,3,Andhra Pradesh,Ananthapuramu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2547.0,7891.0,10438.0,0.24401226288560793,14063.0,2087.0,16150.0,0.8707739938080441,26588.0,104380000000000.0,161500000000000.0,265880000000000.0,25470000000000.0,140630000000000.0,78910000000000.0,20870000000000.0,0.0,0.6247179178576778,0.6247179178576778,0.0,0.37528208214231845,0.37528208214231845,"Legacy (Low E, High U)"
