date,state,district,age_0_5,age_5_17,age_18_greater,year,month,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,total_enrolments,total_bio_updates,total_demo_updates,total_updates,update_intensity,bio_intensity,demo_intensity,updates_per_1000,bio_share,demo_share,young_enrol_share,child_enrol_share,adult_enrol_share,child_update_share,update_intensity_zscore,bio_intensity_zscore,demo_intensity_zscore,total_enrolments_mom,total_enrolments_roll3,total_updates_mom,total_updates_roll3,update_intensity_mom,update_intensity_roll3,national_percentile,state_percentile,is_zscore_anomaly,is_iqr_anomaly,is_mad_anomaly,mad_zscore,anomaly_type,detection_method
2025-09-04,Andaman And Nicobar Islands,Andamans,3.0,0.0,0.0,6075,27,3.0,9.0,0.0,9.0,3.0,12.0,9.0,21.0,7.0,4.0,3.0,7000.0,0.5714285714285714,0.42857142857142855,1.0,0.0,0.0,0.14285714285714285,3.6971618897169787,3.7455528167374177,2.184947208712869,inf,1.0,-4.545454545454541,19.666666666666668,inf,2.3333333333333335,99.0659892078483,99.72862957937585,True,True,False,0,High Spike,Combined (Z-score + IQR)
2025-09-15,Andaman And Nicobar Islands,Andamans,1.0,0.0,0.0,2025,9,0.0,0.0,1.0,4.0,1.0,0.0,5.0,5.0,5.0,0.0,5.0,5000.0,0.0,1.0,1.0,0.0,0.0,0.2,2.604591057619765,-0.10375668567143054,3.704572491803634,inf,0.3333333333333333,400.0,3.3333333333333335,inf,1.6666666666666667,98.52541197802785,99.4572591587517,False,True,False,0,High Spike,Combined (Z-score + IQR)
2025-09-16,Andaman And Nicobar Islands,Andamans,1.0,0.0,0.0,2025,9,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.41944939342533766,-0.10375668567143054,0.6653219256221035,inf,0.6666666666666666,-96.55172413793103,11.666666666666666,inf,2.0,95.9437314858359,96.40434192672998,False,True,False,0,High Spike,Combined (Z-score + IQR)
2025-10-15,Andaman And Nicobar Islands,Andamans,2.0,0.0,0.0,4050,20,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.41944939342533766,-0.10375668567143054,0.6653219256221035,inf,1.0,-75.0,3.3333333333333335,inf,0.3333333333333333,95.9437314858359,96.40434192672998,False,True,False,0,High Spike,Combined (Z-score + IQR)
2025-10-18,Andaman And Nicobar Islands,Andamans,1.0,0.0,0.0,2025,10,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.41944939342533766,-0.10375668567143054,0.6653219256221035,inf,1.0,-92.85714285714286,5.0,inf,0.3333333333333333,95.9437314858359,96.40434192672998,False,True,False,0,High Spike,Combined (Z-score + IQR)
2025-10-26,Andaman And Nicobar Islands,Andamans,2.0,0.0,0.0,4050,20,0.0,0.0,0.0,4.0,2.0,0.0,4.0,4.0,2.0,0.0,2.0,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9657348094739444,-0.10375668567143054,1.425134567167486,inf,1.0,-73.33333333333334,6.333333333333333,inf,0.6666666666666666,96.83022966047872,97.69335142469471,False,True,False,0,High Spike,Combined (Z-score + IQR)
2025-11-15,Andaman And Nicobar Islands,Andamans,2.0,0.0,0.0,4050,22,0.0,3.0,0.0,0.0,2.0,3.0,0.0,3.0,1.5,1.5,0.0,1500.0,1.0,0.0,1.0,0.0,0.0,0.0,0.692592101449641,1.3397343777318877,-0.0944907159232792,inf,0.6666666666666666,-82.35294117647058,13.0,inf,0.5,96.41182773282395,97.08276797829036,False,True,False,0,High Spike,Combined (Z-score + IQR)
2025-12-22,Andaman And Nicobar Islands,Andamans,3.0,0.0,0.0,6075,36,0.0,0.0,0.0,6.0,3.0,0.0,6.0,6.0,2.0,0.0,2.0,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9657348094739444,-0.10375668567143054,1.425134567167486,50.0,1.6666666666666667,inf,4.666666666666667,inf,0.6666666666666666,96.83022966047872,97.69335142469471,False,True,False,0,High Spike,Combined (Z-score + IQR)
2025-12-27,Andaman And Nicobar Islands,Andamans,2.0,0.0,0.0,4050,24,0.0,0.0,0.0,3.0,2.0,0.0,3.0,3.0,1.5,0.0,1.5,1500.0,0.0,1.0,1.0,0.0,0.0,0.0,0.692592101449641,-0.10375668567143054,1.0452282463947946,inf,0.6666666666666666,-86.36363636363636,9.666666666666666,inf,0.5,96.41182773282395,97.08276797829036,False,True,False,0,High Spike,Combined (Z-score + IQR)
2025-09-04,Andaman And Nicobar Islands,Nicobar,4.0,0.0,0.0,2025,9,0.0,0.0,0.0,7.0,4.0,0.0,7.0,7.0,1.75,0.0,1.75,1750.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8291634554617927,-0.10375668567143054,1.2351814067811404,inf,2.0,-82.92682926829268,16.0,inf,0.5833333333333334,96.60115096891802,97.28629579375848,False,True,False,0,High Spike,Combined (Z-score + IQR)
