state,district,avg_daily_bio,std_daily_bio,observation_count,avg_minor_share,std_minor_share,cv
Andaman And Nicobar Islands,Andamans,24.876543209876544,45.46217733348498,81,0.240016511740019,0.2061954391044945,1.8275118431822746
Andaman And Nicobar Islands,Nicobar,24.14666666666667,52.60271633447996,75,0.5530844204096468,0.27039335710291695,2.178466993421312
Andaman And Nicobar Islands,Nicobars,1.0,0.0,2,0.5,0.7071067811865476,0.0
Andaman And Nicobar Islands,North And Middle Andaman,78.80246913580247,195.19659447292395,81,0.6511709062965149,0.26322438578359497,2.4770365270729813
Andaman And Nicobar Islands,South Andaman,127.89024390243902,284.16010119916547,82,0.6686351712005897,0.16768329243360253,2.221906007278685
Andhra Pradesh,Adilabad,612.2117647058824,1170.3564993514708,85,0.23024277210944358,0.09524489582728782,1.9116857382081367
Andhra Pradesh,Alluri Sitharama Raju,216.36046511627907,500.1476937816224,86,0.4212892116522017,0.16455539802118474,2.3116408698457316
Andhra Pradesh,Anakapalli,81.0,194.1469144494547,83,0.44971092706039917,0.20548791738414898,2.396875487030305
Andhra Pradesh,Anantapur,1075.4597701149426,2401.0642010952856,87,0.35078323288081453,0.12052472251380027,2.2325932292554893
Andhra Pradesh,Ananthapur,978.2790697674419,2980.898856350557,86,0.5587410076481675,0.15321266768550718,3.0470843632167055
Andhra Pradesh,Ananthapuramu,1274.4418604651162,4052.1426332385486,86,0.69165456679999,0.11048685607082266,3.179542950480057
Andhra Pradesh,Annamayya,115.61904761904762,291.75736349043405,84,0.5232769996450708,0.18891928164562016,2.5234368341429634
Andhra Pradesh,Bapatla,73.85185185185185,172.1809448742159,81,0.6204236920919568,0.20967444761402118,2.3314370670029234
Andhra Pradesh,Chittoor,2890.0919540229884,7516.67860785412,87,0.5572065209137076,0.1570855963675218,2.6008441002684894
Andhra Pradesh,Cuddapah,1940.8636363636363,5043.735883187395,88,0.5762875235053636,0.151821695180262,2.598706982133603
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,86.97619047619048,184.2905626299657,84,0.5692309691731723,0.1800145039515748,2.1188622037937472
Andhra Pradesh,East Godavari,3430.1136363636365,8885.366324613215,88,0.6118739294636876,0.13166332803440575,2.5903999886233655
Andhra Pradesh,Eluru,100.36585365853658,262.7252008569252,82,0.5173812483651397,0.1630726583772954,2.617675148270701
Andhra Pradesh,Guntur,3314.7045454545455,8903.86285040542,88,0.5494885285508281,0.1517183932881885,2.686170887422014
Andhra Pradesh,Hyderabad,1201.6363636363637,2783.093867522993,88,0.26815998588329,0.10489404331001177,2.3160865897074383
Andhra Pradesh,K.V. Rangareddy,5.45945945945946,4.966157217812639,74,0.49557507498683967,0.3187460592674169,0.9096426587082557
Andhra Pradesh,K.V.Rangareddy,10.171052631578947,6.859325832557669,76,0.21874570692516543,0.22051333043048874,0.6743968477029533
Andhra Pradesh,Kakinada,137.6235294117647,335.3282321089287,85,0.5966911218747641,0.17387908623227513,2.436561782292609
Andhra Pradesh,Karim Nagar,20.950617283950617,25.993220863605906,81,0.21799470266854162,0.15651680204598817,1.2406899764007533
Andhra Pradesh,Karimnagar,199.15116279069767,343.1989824968414,86,0.2691573234178613,0.12472103738716349,1.723308956310408
Andhra Pradesh,Khammam,470.7816091954023,1022.4969940853907,87,0.429455189798553,0.13300475065348336,2.171913630680917
Andhra Pradesh,Krishna,2650.534090909091,6886.614404251732,88,0.5569267147522047,0.13988467711576977,2.5981987660040744
Andhra Pradesh,Kurnool,3984.465909090909,11063.857178985338,88,0.5613086419086807,0.1420883511914439,2.7767478581614102
Andhra Pradesh,Mahabub Nagar,161.06976744186048,114.21288592156976,86,0.05199886855730099,0.053258860785543885,0.7090895314218163
Andhra Pradesh,Mahabubnagar,2.3529411764705883,2.037876634261895,51,0.27549019607843134,0.3510358155385995,0.8660975695613052
Andhra Pradesh,Mahbubnagar,173.4,283.1406431608217,85,0.1941677006012956,0.09732098862725483,1.6328756814349579
Andhra Pradesh,Medak,260.98837209302326,436.60178367736864,86,0.2918757136896568,0.0939957269623117,1.672878297895019
Andhra Pradesh,N. T. R,157.6627906976744,409.8448088057985,86,0.5241837779498649,0.15892479912626445,2.59950243803368
Andhra Pradesh,Nalgonda,375.32183908045977,631.5709924236523,87,0.17202505296968695,0.07563169470959867,1.682745118085865
Andhra Pradesh,Nandyal,125.17647058823529,312.16845942347146,85,0.5498383375253697,0.18920444345655477,2.4938269784769806
Andhra Pradesh,Nellore,1821.5747126436781,4913.425806322594,87,0.5145507405105656,0.14336802230610618,2.697350689059395
Andhra Pradesh,Nizamabad,129.16470588235293,226.32308590969302,85,0.34352356514043125,0.1354509712359242,1.752205328565799
Andhra Pradesh,Palnadu,122.59756097560975,341.6829394410684,82,0.5651216065403829,0.16899021499747946,2.787028850509063
Andhra Pradesh,Parvathipuram Manyam,128.0722891566265,351.23033867835295,83,0.40292422327699723,0.17257502352813237,2.7424382041677604
Andhra Pradesh,Prakasam,2440.2183908045977,6674.207463489906,87,0.5402442439766425,0.11596238446372202,2.735086125340307
Andhra Pradesh,Rangareddi,620.3977272727273,1409.3506170693854,88,0.2951937038937395,0.1268959986479277,2.2716888781409637
